Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,en,330459,tt3748528,133,"[""Action"",""Adventure"",""Science Fiction""]",2016-12-14,1056057273,200000000,Released,A rebellion built on hope.,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,"[{""name"":""Lucasfilm Ltd."",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Rumble in the Bronx,紅番區,cn,33542,tt0113326,104,"[""Crime"",""Action"",""Comedy"",""Thriller""]",1995-01-21,32400000,7500000,Released,No Fear. No Stuntman. No Equal.,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.","[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Scarface,Scarface,en,111,tt0086250,169,"[""Action"",""Crime"",""Drama""]",1983-12-09,66023329,25000000,Released,He loved the American Dream. With a vengeance.,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Martin Bregman Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",,,,false,false
Scrooged,Scrooged,en,9647,tt0096061,101,"[""Fantasy"",""Comedy"",""Drama""]",1988-11-22,60300000,32000000,Released,The spirits will move you in odd and hysterical ways.,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Mirage Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Shaolin Wooden Men,少林木人巷,zh,40829,tt0075201,97,"[""Action""]",1976-10-10,1013271,0,Released,Revenge is his destiny.,"Little Mute is an orphan traumatized into silence by the death of his father at the hands of a vicious fighting master. Living at the Shaolin monastery, he befriends a dangerous prisoner who teaches him a secret form of deadly kung fu. Seeing his intense determination, other masters share the wisdom of the Gliding Snake and Drunken Master techniques. In one of the most exciting fight scenes ever filmed, Little Mute must run the gauntlet of the famous 108 wooden men in an extreme test of skill and endurance. But if he becomes a master, will he use his unmatched force for redemption or revenge?","[{""name"":""Lo Wei Motion Picture Company"",""originCountry"":""HK""},{""name"":""Toei Central Film"",""originCountry"":""JP""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""普通话"",""iso31661"":""zh""}]",,,,false,false
Skyfall,Skyfall,en,37724,tt1074638,143,"[""Action"",""Adventure"",""Thriller""]",2012-10-24,1142471295,200000000,Released,Think on your sins.,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.","[{""name"":""Metro-Goldwyn-Mayer"",""originCountry"":""US""},{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""},{""name"":""Columbia Pictures"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",James Bond Collection,James Bond Collection,,false,false
Skyscraper,Skyscraper,en,447200,tt5758778,102,"[""Action"",""Thriller"",""Adventure""]",2018-07-11,292400000,125000000,Released,Don't look down,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.","[{""name"":""Flynn Picture Company"",""originCountry"":""US""},{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Seven Bucks Productions"",""originCountry"":""US""},{""name"":""The Third Floor"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""普通话"",""iso31661"":""zh""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Smile Before Death,Il sorriso della iena,it,105113,tt0069301,85,"[""Crime"",""Horror"",""Mystery""]",1972-05-03,0,0,Released,,"After the death of her mother under strange circumstances, a teenage girl quickly begins to suspect that her recently widowed stepfather may be involved.","[{""name"":""Condor International Productions"",""originCountry"":""""},{""name"":""DIC"",""originCountry"":""IT""}]","[{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
Smokin' Aces,Smokin' Aces,en,7516,tt0475394,109,"[""Action"",""Comedy"",""Crime"",""Thriller""]",2006-12-09,57103895,17000000,Released,Nobody gets away clean.,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Working Title Films"",""originCountry"":""GB""},{""name"":""StudioCanal"",""originCountry"":""FR""},{""name"":""Relativity Media"",""originCountry"":""US""},{""name"":""Scion Films"",""originCountry"":""GB""},{""name"":""Working Title Films"",""originCountry"":""US""}]","[{""name"":""France"",""iso31661"":""FR""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Canada"",""iso31661"":""CA""}]","[{""name"":""English"",""iso31661"":""en""}]",Smokin' Aces Collection,Smokin' Aces Collection,,false,false
Snake and Crane Arts of Shaolin,蛇鶴八步,cn,35170,tt0078251,96,"[""Action"",""Drama""]",1978-03-08,0,0,Released,,"Jackie Chan stars as the young warrior Hsu Yiu Fong. Hsu has been entrusted with the book of the ""Art of the Snake and Crane,"" after the mysterious disappearance of the eight Shaolin Masters who had written it. He must fight off numerous clans who are all attempting to steal the book from him, to find out the true reason for the disappearance of the Shaolin Masters.","[{""name"":""Lo Wei Motion Picture Company"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""Taiwan"",""iso31661"":""TW""}]","[{""name"":""普通话"",""iso31661"":""zh""}]",,,,false,false
