Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Fargo,Fargo,en,275,tt0116282,98,"[""Crime"",""Drama"",""Thriller""]",1996-03-08,60611975,7000000,Released,A lot can happen in the middle of nowhere.,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!","[{""name"":""PolyGram Filmed Entertainment"",""originCountry"":""US""},{""name"":""Working Title Films"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Fast & Furious,Fast & Furious,en,13804,tt1013752,107,"[""Action"",""Crime"",""Drama"",""Thriller""]",2009-04-02,363164265,85000000,Released,New model. Original parts.,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.","[{""name"":""dentsu"",""originCountry"":""JP""},{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Relativity Media"",""originCountry"":""US""},{""name"":""Original Film"",""originCountry"":""US""},{""name"":""One Race"",""originCountry"":""US""}]","[{""name"":""Japan"",""iso31661"":""JP""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
Fast & Furious 6,Fast & Furious 6,en,82992,tt1905041,131,"[""Action"",""Thriller"",""Crime""]",2013-05-21,788700000,160000000,Released,All roads lead to this.,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.","[{""name"":""Relativity Media"",""originCountry"":""US""},{""name"":""Original Film"",""originCountry"":""US""},{""name"":""One Race"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""Nederlands"",""iso31661"":""nl""},{""name"":""English"",""iso31661"":""en""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""Español"",""iso31661"":""es""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
Fast Five,Fast Five,en,51497,tt1596343,130,"[""Action"",""Thriller"",""Crime""]",2011-04-20,626100000,125000000,Released,Get the fifth gear.,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.","[{""name"":""Original Film"",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""One Race"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""},{""name"":""Português"",""iso31661"":""pt""},{""name"":""Italiano"",""iso31661"":""it""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
Fight Club,Fight Club,en,550,tt0137523,139,"[""Drama""]",1999-10-15,100853753,63000000,Released,Mischief. Mayhem. Soap.,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","[{""name"":""Fox 2000 Pictures"",""originCountry"":""US""},{""name"":""Regency Enterprises"",""originCountry"":""US""},{""name"":""The Linson Company"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Taurus Film"",""originCountry"":""DE""}]","[{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Flash Gordon,Flash Gordon,en,3604,tt0080745,111,"[""Science Fiction"",""Comedy"",""Adventure"",""Action""]",1980-09-01,27100000,35000000,Released,Pathetic earthlings...who can save you now?,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,"[{""name"":""Starling Films"",""originCountry"":""GB""},{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Famous Films Productions"",""originCountry"":""NL""},{""name"":""Flash Gordon Productions"",""originCountry"":""US""},{""name"":""Dino de Laurentiis Cinematografica"",""originCountry"":""IT""}]","[{""name"":""Italy"",""iso31661"":""IT""},{""name"":""Netherlands"",""iso31661"":""NL""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
For Your Eyes Only,For Your Eyes Only,en,699,tt0082398,128,"[""Adventure"",""Action"",""Thriller""]",1981-06-24,187412802,28000000,Released,"No one comes close to James Bond, 007.",A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,"[{""name"":""United Artists"",""originCountry"":""US""},{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""ελληνικά"",""iso31661"":""el""},{""name"":""English"",""iso31661"":""en""},{""name"":""Italiano"",""iso31661"":""it""}]",James Bond Collection,James Bond Collection,,false,false
From Russia with Love,From Russia with Love,en,657,tt0057076,115,"[""Action"",""Thriller"",""Adventure""]",1963-10-10,78900000,2500000,Released,The world's masters of murder pull out all the stops to destroy Agent 007!,"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy.","[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""Türkçe"",""iso31661"":""tr""},{""name"":""Română"",""iso31661"":""ro""}]",James Bond Collection,James Bond Collection,,false,false
Furious 7,Furious 7,en,168259,tt2820852,137,"[""Action"",""Thriller"",""Crime""]",2015-04-01,1515400000,190000000,Released,Vengeance hits home.,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"[{""name"":""Original Film"",""originCountry"":""US""},{""name"":""One Race"",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""العربية"",""iso31661"":""ar""},{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""},{""name"":""ภาษาไทย"",""iso31661"":""th""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
Galaxy Quest,Galaxy Quest,en,926,tt0177789,101,"[""Comedy"",""Science Fiction"",""Adventure""]",1999-12-25,90683916,45000000,Released,A comedy of Galactic Proportions.,"For four years, the courageous crew of the NSEA protector - ""Commander Peter Quincy Taggart"" (Tim Allen), ""Lt. Tawny Madison (Sigourney Weaver) and ""Dr.Lazarus"" (Alan Rickman) - set off on a thrilling and often dangerous mission in space...and then their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director and no clue, the actors must turn in the performances of their lives.","[{""name"":""DreamWorks Pictures"",""originCountry"":""US""},{""name"":""Gran Via Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Turkey"",""iso31661"":""TR""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Ghostbusters,Ghostbusters,en,620,tt0087332,107,"[""Comedy"",""Fantasy""]",1984-06-08,296187079,30000000,Released,They're here to save the world.,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.","[{""name"":""Columbia Pictures"",""originCountry"":""US""},{""name"":""Delphi Films"",""originCountry"":""US""},{""name"":""Black Rhino Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Ghostbusters Collection,Ghostbusters Collection,,false,false
Godzilla,Godzilla,en,124905,tt0831387,123,"[""Action"",""Drama"",""Science Fiction""]",2014-05-14,529100000,160000000,Released,"The world ends, Godzilla begins.","Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.","[{""name"":""Legendary Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":"""",""iso31661"":""tl""}]",Godzilla Collection,Godzilla Collection,,false,false
Godzilla vs. Kong,Godzilla vs. Kong,en,399566,tt5034838,114,"[""Action"",""Science Fiction"",""Adventure""]",2021-03-24,470116094,200000000,Released,One will fall.,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.","[{""name"":""Legendary Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Godzilla Collection,Godzilla Collection,,false,false
GoldenEye,GoldenEye,en,710,tt0113189,130,"[""Adventure"",""Action"",""Thriller""]",1995-11-16,352200000,58000000,Released,No limits. No fears. No substitutes.,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon","[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""United Artists"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""Español"",""iso31661"":""es""}]",James Bond Collection,James Bond Collection,,false,false
Goldfinger,Goldfinger,en,658,tt0058150,110,"[""Adventure"",""Action"",""Thriller""]",1964-09-20,124881062,2500000,Released,Everything he touches turns into excitement!,"Special agent 007 comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.","[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""普通话"",""iso31661"":""zh""},{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",James Bond Collection,James Bond Collection,,false,false
Grease,Grease,en,621,tt0077631,110,"[""Romance"",""Comedy""]",1978-07-07,396300000,6000000,Released,Grease is the word.,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Robert Stigwood Organization"",""originCountry"":""GB""},{""name"":""Fine Arts Films"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Grease Collection,Grease Collection,,false,false
Gremlins,Gremlins,en,927,tt0087363,106,"[""Fantasy"",""Horror"",""Comedy""]",1984-06-08,153083102,11000000,Released,Cute. Clever. Mischievous. Intelligent. Dangerous.,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.","[{""name"":""Amblin Entertainment"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",The Gremlins Collection,The Gremlins Collection,,false,false
Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,en,555604,tt1488589,117,"[""Animation"",""Fantasy"",""Drama"",""Family""]",2022-10-22,0,35000000,Released,Love will give you life.,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.","[{""name"":""The Jim Henson Company"",""originCountry"":""US""},{""name"":""ShadowMachine"",""originCountry"":""US""},{""name"":""Double Dare You Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Hackers,Hackers,en,10428,tt0113243,107,"[""Action"",""Crime"",""Thriller"",""Drama""]",1995-09-14,7563728,20000000,Released,Their crime is curiosity.,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.","[{""name"":""Suftley"",""originCountry"":""""},{""name"":""United Artists"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Italiano"",""iso31661"":""it""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Pусский"",""iso31661"":""ru""}]",,,,false,false
Heart of Dragon,龍的心,cn,18763,tt0091427,91,"[""Action"",""Comedy"",""Crime"",""Drama"",""Thriller""]",1985-09-14,0,0,Released,If you ever get in this much trouble you'll wish you had a brother like Jackie Chan.,"A policeman forsakes his dream of world travel to care for a mentally impaired brother, who is later kidnapped by gangsters.","[{""name"":""Paragon Films Ltd."",""originCountry"":""HK""},{""name"":""Bo Ho Films"",""originCountry"":""HK""},{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",,,,false,false
Her,Her,en,152601,tt1798709,126,"[""Romance"",""Science Fiction"",""Drama""]",2013-12-18,47351251,23000000,Released,A Spike Jonze love story.,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.","[{""name"":""Annapurna Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Home Alone,Home Alone,en,771,tt0099785,103,"[""Comedy"",""Family""]",1990-11-16,476684675,18000000,Released,A family comedy without the family.,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.","[{""name"":""Hughes Entertainment"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",Home Alone Collection,Home Alone Collection,,false,false
Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,en,772,tt0104431,120,"[""Comedy"",""Family"",""Adventure""]",1992-11-15,358994850,18000000,Released,He's up past his bedtime in the city that never sleeps.,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Hughes Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",Home Alone Collection,Home Alone Collection,,false,false
Howard the Duck,Howard the Duck,en,10658,tt0091225,110,"[""Comedy"",""Fantasy"",""Science Fiction""]",1986-08-01,38000000,37000000,Released,More adventure than humanly possible.,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,"[{""name"":""Lucasfilm Ltd."",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Inception,Inception,en,27205,tt1375666,148,"[""Action"",""Science Fiction"",""Adventure""]",2010-07-15,825532764,160000000,Released,Your mind is the scene of the crime.,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","[{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Syncopy"",""originCountry"":""GB""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Kiswahili"",""iso31661"":""sw""}]",,,,false,false
Inglourious Basterds,Inglourious Basterds,en,16869,tt0361748,153,"[""Drama"",""Thriller"",""War""]",2009-08-02,321457747,70000000,Released,A basterd's work is never done.,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.","[{""name"":""The Weinstein Company"",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""A Band Apart"",""originCountry"":""US""},{""name"":""Zehnte Babelsberg Film"",""originCountry"":""DE""},{""name"":""Visiona Romantica"",""originCountry"":""US""},{""name"":""Peninsula Films"",""originCountry"":""FR""}]","[{""name"":""France"",""iso31661"":""FR""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
Interstellar,Interstellar,en,157336,tt0816692,169,"[""Adventure"",""Drama"",""Science Fiction""]",2014-11-05,701729206,165000000,Released,Mankind was born on Earth. It was never meant to die here.,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"[{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Syncopy"",""originCountry"":""GB""},{""name"":""Lynda Obst Productions"",""originCountry"":""""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Jason Bourne,Jason Bourne,en,324668,tt4196776,123,"[""Action"",""Thriller""]",2016-07-27,415484914,120000000,Released,You know his name,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,"[{""name"":""The Kennedy/Marshall Company"",""originCountry"":""US""},{""name"":""Captivate Entertainment"",""originCountry"":""US""},{""name"":""Pearl Street Films"",""originCountry"":""US""},{""name"":""Perfect World Pictures"",""originCountry"":""CN""}]","[{""name"":""China"",""iso31661"":""CN""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Bourne Collection,The Bourne Collection,,false,false
John Wick,John Wick,en,245891,tt2911666,101,"[""Action"",""Thriller""]",2014-10-22,88761661,20000000,Released,Don't set him off.,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,"[{""name"":""87Eleven"",""originCountry"":""US""},{""name"":""DefyNite Films"",""originCountry"":""US""},{""name"":""MJW Films"",""originCountry"":""US""},{""name"":""Thunder Road"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Magyar"",""iso31661"":""hu""},{""name"":""English"",""iso31661"":""en""},{""name"":""Pусский"",""iso31661"":""ru""}]",John Wick Collection,John Wick Collection,,false,false
John Wick: Chapter 2,John Wick: Chapter 2,en,324552,tt4425200,122,"[""Action"",""Thriller"",""Crime""]",2017-02-08,171539887,40000000,Released,Never stab the devil in the back.,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","[{""name"":""Thunder Road"",""originCountry"":""US""},{""name"":""87Eleven"",""originCountry"":""US""},{""name"":""Summit Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""עִבְרִית"",""iso31661"":""he""},{""name"":""Italiano"",""iso31661"":""it""},{""name"":""Pусский"",""iso31661"":""ru""}]",John Wick Collection,John Wick Collection,,false,false
John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,en,458156,tt6146586,131,"[""Action"",""Thriller"",""Crime""]",2019-05-15,326709727,55000000,Released,"If you want peace, prepare for war.","Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.","[{""name"":""Thunder Road"",""originCountry"":""US""},{""name"":""Lionsgate"",""originCountry"":""US""},{""name"":""87Eleven"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""العربية"",""iso31661"":""ar""},{""name"":""普通话"",""iso31661"":""zh""},{""name"":""English"",""iso31661"":""en""},{""name"":""Bahasa indonesia"",""iso31661"":""id""},{""name"":""Italiano"",""iso31661"":""it""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Latin"",""iso31661"":""la""},{""name"":""Pусский"",""iso31661"":""ru""}]",John Wick Collection,John Wick Collection,,false,false
John Wick: Chapter 4,John Wick: Chapter 4,en,603692,tt10366206,170,"[""Action"",""Thriller"",""Crime""]",2023-03-22,440157245,90000000,Released,"No way back, one way out.","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","[{""name"":""Thunder Road"",""originCountry"":""US""},{""name"":""87Eleven"",""originCountry"":""US""},{""name"":""Summit Entertainment"",""originCountry"":""US""},{""name"":""Studio Babelsberg"",""originCountry"":""DE""}]","[{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""العربية"",""iso31661"":""ar""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Latin"",""iso31661"":""la""},{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""Español"",""iso31661"":""es""}]",John Wick Collection,John Wick Collection,,false,false
Joker,Joker,en,475557,tt7286456,122,"[""Crime"",""Thriller"",""Drama""]",2019-10-01,1078958629,55000000,Released,Put on a happy face.,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Joint Effort"",""originCountry"":""US""},{""name"":""Village Roadshow Pictures"",""originCountry"":""US""},{""name"":""Bron Studios"",""originCountry"":""CA""},{""name"":""DC Films"",""originCountry"":""US""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Joker Collection,Joker Collection,,false,false
Jumanji,Jumanji,en,8844,tt0113497,104,"[""Adventure"",""Fantasy"",""Family""]",1995-12-15,262821940,65000000,Released,Roll the dice and unleash the excitement!,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","[{""name"":""TriStar Pictures"",""originCountry"":""US""},{""name"":""Interscope Communications"",""originCountry"":""US""},{""name"":""Teitler Film"",""originCountry"":""US""},{""name"":""PolyGram Filmed Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",Jumanji Collection,Jumanji Collection,,false,false
Jurassic Park,Jurassic Park,en,329,tt0107290,127,"[""Adventure"",""Science Fiction""]",1993-06-11,920100000,63000000,Released,An adventure 65 million years in the making.,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Amblin Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",Jurassic Park Collection,Jurassic Park Collection,,false,false
Justice League,Justice League,en,141052,tt0974015,120,"[""Action"",""Adventure"",""Science Fiction""]",2017-11-15,661326987,300000000,Released,You can't save the world alone.,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.","[{""name"":""RatPac Entertainment"",""originCountry"":""US""},{""name"":""Cruel & Unusual Films"",""originCountry"":""US""},{""name"":""Atlas Entertainment"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""DC Films"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
